SV-A Report


Systems
System,System Type,Altitude Factor,Floor Area (sqft),Max People,Outside Air Ratio,Cooling Capacity (kBTU/hr),Sensible (SHR),Heating Capacity (kBTU/hr),Cooling EIR (BTU/BTU),Heating EIR (BTU/BTU),Heat Pump Supplemental Heat (kBTU/hr)
Elev Cooling Sys,4-ELEV Zn,586.0,0.0,0.040999999999999995,1.0,0.0,18.05,0.65,15.83,-25.38,-25.52,1.0,0.06996587030716722

Fans
System,Fan Type,Capacity (CFM),Diversity Factor (FRAC),Power Demand (kW),Fan deltaT (F),Static Pressure (in w.c.),Total efficiency,Mechanical Efficiency,Fan Placement,Fan Control,Max Fan Ratio (Frac),Min Fan Ratio (Frac),W/CFM
Hallway System - MASTER CA SYS,SUPPLY,5108.0,1.0,1.5330000000000001,0.93,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.30011746280344564
HP for Office 3rd Floor,SUPPLY,548.0,1.0,0.16399999999999998,0.93,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.2992700729927007
HP Above Lobby Sys,SUPPLY,756.0,1.0,0.22699999999999998,0.93,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.30026455026455023
HP Conf/TV Sys,SUPPLY,5069.0,1.0,1.521,0.93,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.3000591832708621
HP Above Kit Sys,SUPPLY,4708.0,1.0,1.412,0.93,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.29991503823279525
HP 1 Base Sys,SUPPLY,950.0,1.0,0.285,0.93,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.3
HP 2 Base Sys,SUPPLY,776.0,1.0,0.233,0.93,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.3002577319587629
B-APT-08 Zn MASTER SYS,SUPPLY,371.0,1.0,0.1,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.2695417789757412
4-APT-05 Zn-Sys,SUPPLY,401.0,1.0,0.10800000000000001,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.2693266832917706
4-APT-02 Zn-Sys,SUPPLY,628.0,1.0,0.17,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.27070063694267515
4-APT-06 Zn-Sys,SUPPLY,1006.0,1.0,0.272,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.27037773359840955
B-APT-01 Zn-Sys,SUPPLY,654.0,1.0,0.177,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.2706422018348624
B-APT-07 Zn-Sys,SUPPLY,401.0,1.0,0.10800000000000001,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.2693266832917706
2-APT-03 Zn-Sys,SUPPLY,1680.0,1.0,0.45399999999999996,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.2702380952380952
B-APT-02 Zn-Sys,SUPPLY,585.0,1.0,0.158,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.27008547008547007
B-APT-03 Zn-Sys,SUPPLY,728.0,1.0,0.19699999999999998,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.2706043956043956
B-APT-06 Zn-Sys,SUPPLY,485.0,1.0,0.131,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.27010309278350514
4-APT-04 Zn-Sys,SUPPLY,698.0,1.0,0.18899999999999997,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.27077363896848133
2-APT-05 Zn-Sys,SUPPLY,612.0,1.0,0.165,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.2696078431372549
2-APT-07 Zn-Sys,SUPPLY,1298.0,1.0,0.35,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.2696456086286595
3-APT-02 Zn-Sys,SUPPLY,934.0,1.0,0.252,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.2698072805139186
2-APT-06 Zn-Sys,SUPPLY,975.0,1.0,0.263,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.26974358974358975
3-APT-05 Zn-Sys,SUPPLY,398.0,1.0,0.107,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.26884422110552764
2-APT-01 Zn-Sys,SUPPLY,908.0,1.0,0.245,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.2698237885462555
3-APT-06 Zn-Sys,SUPPLY,750.0,1.0,0.203,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.27066666666666667
3-APT-01 Zn-Sys,SUPPLY,482.0,1.0,0.13,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.2697095435684647
4-APT-01 Zn-Sys,SUPPLY,757.0,1.0,0.204,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.26948480845442535
2-APT-02 Zn-Sys,SUPPLY,1031.0,1.0,0.278,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.2696411251212415
3-APT-07 Zn-Sys,SUPPLY,777.0,1.0,0.21,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.2702702702702703
4-APT-03 Zn-Sys,SUPPLY,518.0,1.0,0.14,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.2702702702702703
3-APT-04 Zn-Sys,SUPPLY,565.0,1.0,0.153,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.27079646017699116
4-APT-07 Zn-Sys,SUPPLY,690.0,1.0,0.18600000000000003,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.2695652173913044
3-APT-03 Zn-Sys,SUPPLY,556.0,1.0,0.15,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.2697841726618705
2-APT-08 Zn-Sys,SUPPLY,807.0,1.0,0.218,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.2701363073110285
B-APT-04 Zn-Sys,SUPPLY,664.0,1.0,0.179,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.26957831325301207
2-APT-04 Zn-Sys,SUPPLY,1384.0,1.0,0.374,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.2702312138728324
Elev Cooling Sys,SUPPLY,586.0,0.0,0.0,0.22,0.0,0.0,0.0,BLOW-THRU,2-SPEED,0.0,0.0,0.0

